auc,prauc,AP,auc_01,f1,accuracy,precision,recall,evalset,encoding,weight,cols,flip
0.5393147684605757,0.2217202330644285,0.22399738744825407,0.494969040247678,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,onehot,Mask,blsm_mut_score,False
0.5118575406623338,0.20822703290943737,0.20925972563548934,0.5047152631404125,0.0067226890756302525,0.8051434223541049,0.6666666666666666,0.0033783783783783786,cedar_related,onehot,Mask,blsm_mut_score,False
0.48836268362420776,0.017427549782028463,0.017508215159228586,0.49508560218586967,0.0,0.9813735195981373,0.0,0.0,prime_related,onehot,Mask,blsm_mut_score,False
0.5532462453066332,0.23905712758657116,0.24149001759328784,0.5012268625255253,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,onehot,KL,blsm_mut_score,False
0.5111551535148422,0.20519719554211532,0.20651223194182788,0.5037300636413381,0.026101141924959218,0.8031651829871415,0.38095238095238093,0.013513513513513514,cedar_related,onehot,KL,blsm_mut_score,False
0.48833322430678683,0.01750399887048998,0.01759521316962353,0.4959565581037647,0.0,0.979540204597954,0.0,0.0,prime_related,onehot,KL,blsm_mut_score,False
0.5120463078848561,0.2295933071163579,0.23325455510454055,0.506620117251828,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,onehot,None,blsm_mut_score,False
0.5116963030215795,0.2055846422180326,0.20674922068325666,0.5053817751859969,0.029126213592233014,0.8021760633036598,0.34615384615384615,0.015202702702702704,cedar_related,onehot,None,blsm_mut_score,False
0.48273942414196225,0.01781667636153258,0.017918816898857576,0.5027369808178069,0.0,0.979540204597954,0.0,0.0,prime_related,onehot,None,blsm_mut_score,False
0.5426705256570713,0.2277570679196817,0.23012962737365228,0.4984273104538568,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,onehot,Shannon,blsm_mut_score,False
0.5109745396769158,0.20562620605204365,0.20694378402830726,0.5043568763355736,0.02605863192182411,0.8028354764259809,0.36363636363636365,0.013513513513513514,cedar_related,onehot,Shannon,blsm_mut_score,False
0.48759969468629216,0.017480298670786203,0.017571688544000038,0.49617044028696616,0.0,0.979540204597954,0.0,0.0,prime_related,onehot,Shannon,blsm_mut_score,False
0.5551548811013767,0.2650167339399424,0.26625968854935883,0.5043969435478559,0.09137055837563451,0.793778801843318,1.0,0.047872340425531915,ibel_neoepi,BL62LO,Mask,blsm_mut_score,False
0.5201623171717396,0.203349052073315,0.20424758224008666,0.502045572815749,0.02773497688751926,0.7919551599076822,0.15789473684210525,0.015202702702702704,cedar_related,BL62LO,Mask,blsm_mut_score,False
0.4804620490897071,0.018642695823491394,0.01883423980434697,0.5084070347995094,0.033362598770851626,0.9596304036959631,0.030015797788309637,0.037549407114624504,prime_related,BL62LO,Mask,blsm_mut_score,False
0.5593710888610763,0.26657689577740395,0.2678277635528844,0.5048086423819248,0.09137055837563451,0.793778801843318,1.0,0.047872340425531915,ibel_neoepi,BL62LO,KL,blsm_mut_score,False
0.5199602511155154,0.20333571048019022,0.20426368654941535,0.501851082415562,0.033690658499234305,0.7919551599076822,0.18032786885245902,0.018581081081081082,cedar_related,BL62LO,KL,blsm_mut_score,False
0.4797370840827986,0.01865120648990281,0.01884781325616071,0.5081416250409219,0.031943212067435674,0.9599970666959997,0.028985507246376812,0.03557312252964427,prime_related,BL62LO,KL,blsm_mut_score,False
0.5784339799749687,0.25933670456284197,0.2627630601490427,0.5151011132336473,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,BL62LO,None,blsm_mut_score,False
0.5195443548833554,0.20558425786100282,0.20695497938285415,0.503884126261711,0.06528189910979229,0.7922848664688428,0.2682926829268293,0.037162162162162164,cedar_related,BL62LO,None,blsm_mut_score,False
0.4625730816262311,0.01763677266981778,0.017882744950406117,0.5025673595006424,0.029234737747205503,0.9586037472958604,0.0258751902587519,0.03359683794466403,prime_related,BL62LO,None,blsm_mut_score,False
0.5551548811013767,0.2650167339399424,0.26625968854935883,0.5043969435478559,0.09137055837563451,0.793778801843318,1.0,0.047872340425531915,ibel_neoepi,BL62LO,Shannon,blsm_mut_score,False
0.5201623171717396,0.203349052073315,0.20424758224008666,0.502045572815749,0.02773497688751926,0.7919551599076822,0.15789473684210525,0.015202702702702704,cedar_related,BL62LO,Shannon,blsm_mut_score,False
0.48046212292258283,0.01864269798960741,0.018834241974609613,0.5084070347995094,0.033362598770851626,0.9596304036959631,0.030015797788309637,0.037549407114624504,prime_related,BL62LO,Shannon,blsm_mut_score,False
0.493624843554443,0.2352917941435559,0.23723133668029978,0.5055085303998419,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,BL62FREQ,Mask,blsm_mut_score,False
0.5245039693523922,0.20481575639317245,0.20581785202407976,0.5019221041909112,0.015873015873015876,0.7955819320804484,0.13157894736842105,0.008445945945945946,cedar_related,BL62FREQ,Mask,blsm_mut_score,False
0.47522102240517683,0.0183904349272578,0.018760797045863552,0.5030881921498881,0.020460358056265983,0.9719136141971914,0.028985507246376812,0.015810276679841896,prime_related,BL62FREQ,Mask,blsm_mut_score,False
0.4794665206508135,0.2343148431142404,0.23595424311582525,0.5057967195836901,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,BL62FREQ,KL,blsm_mut_score,False
